customer_id,total_spent,total_orders,avg_basket,days_since_last,area,cluster,segment_label
31813,4153.05,2,2076.525,25,Sultan Pur Majra,2,💛 Loyal Customers
61020,3124.91,3,1041.6366666666665,65,Kurnool,0,👑 Champions
119099,1675.0,4,418.75,164,Kavali,3,💤 At-Risk Customers
188838,1916.44,2,958.22,259,Madanapalle,3,💤 At-Risk Customers
191616,1638.0300000000002,2,819.0150000000001,164,Pallavaram,3,💤 At-Risk Customers
211163,1859.08,3,619.6933333333333,148,Satna,3,💤 At-Risk Customers
243838,1975.1200000000001,3,658.3733333333333,335,Visakhapatnam,1,🆕 New Customers
376144,5456.429999999999,5,1091.2859999999998,113,Anantapuram,0,👑 Champions
408590,795.1,1,795.1,321,Jorhat,1,🆕 New Customers
469006,2128.66,3,709.5533333333333,161,Begusarai,3,💤 At-Risk Customers
625395,5032.1,4,1258.025,33,Siliguri,0,👑 Champions
644189,171.2,1,171.2,134,Bhopal,3,💤 At-Risk Customers
666589,1597.71,1,1597.71,285,Morbi,2,💛 Loyal Customers
701493,2361.6800000000003,3,787.2266666666668,138,Shahjahanpur,3,💤 At-Risk Customers
767523,505.95,1,505.95,122,Vasai-Virar,3,💤 At-Risk Customers
773410,1011.9,1,1011.9,81,Kota,3,💤 At-Risk Customers
820740,4674.24,3,1558.08,9,Ambala,0,👑 Champions
899941,708.9799999999999,2,354.48999999999995,339,Sambhal,1,🆕 New Customers
949062,2840.58,1,2840.58,579,Mau,2,💛 Loyal Customers
954629,2014.6499999999999,1,2014.6499999999999,537,Begusarai,2,💛 Loyal Customers
966247,326.42,1,326.42,200,Junagadh,3,💤 At-Risk Customers
1108176,2287.92,2,1143.96,280,Bhalswa Jahangir Pur,2,💛 Loyal Customers
1152215,2362.2,1,2362.2,484,Dhanbad,2,💛 Loyal Customers
1174162,4150.22,3,1383.4066666666668,18,Guna,0,👑 Champions
1200365,2030.1100000000001,2,1015.0550000000001,79,Thane,3,💤 At-Risk Customers
1301661,494.17,1,494.17,124,Saharanpur,3,💤 At-Risk Customers
1342184,1983.8899999999999,2,991.9449999999999,405,Dehradun,1,🆕 New Customers
1449273,269.14,2,134.57,430,Pondicherry,1,🆕 New Customers
1469696,704.13,2,352.065,226,Jalna,3,💤 At-Risk Customers
1497747,343.56,1,343.56,521,Sangli-Miraj & Kupwad,1,🆕 New Customers
1507408,1865.26,3,621.7533333333333,401,Bangalore,1,🆕 New Customers
1529180,373.89,2,186.945,507,Bareilly,1,🆕 New Customers
1562083,3141.5599999999995,2,1570.7799999999997,53,Bhopal,2,💛 Loyal Customers
1588560,1072.8999999999999,2,536.4499999999999,237,Anantapuram,3,💤 At-Risk Customers
1601161,2357.8199999999997,5,471.56399999999996,69,Amaravati,0,👑 Champions
1603358,6212.849999999999,3,2070.95,425,Gandhinagar,2,💛 Loyal Customers
1655637,964.12,1,964.12,369,Ichalkaranji,1,🆕 New Customers
1683786,2457.17,2,1228.585,162,Hajipur,2,💛 Loyal Customers
1697604,1371.42,3,457.14000000000004,280,Bongaigaon,3,💤 At-Risk Customers
1705969,2481.09,2,1240.545,266,Surat,2,💛 Loyal Customers
1719710,819.8100000000001,2,409.90500000000003,413,Giridih,1,🆕 New Customers
1771249,225.21,1,225.21,240,Bathinda,1,🆕 New Customers
1816969,2727.45,2,1363.725,91,Vadodara,2,💛 Loyal Customers
1855421,1149.06,2,574.53,301,Kadapa,1,🆕 New Customers
1989720,3042.82,2,1521.41,91,Saharanpur,2,💛 Loyal Customers
2058037,3387.9800000000005,4,846.9950000000001,4,Rajkot,0,👑 Champions
2134827,724.84,1,724.84,306,Ambarnath,1,🆕 New Customers
2136830,657.8,1,657.8,422,Bidhannagar,1,🆕 New Customers
2164524,6930.889999999999,4,1732.7224999999999,368,Rohtak,0,👑 Champions
2188994,986.38,1,986.38,167,Patiala,3,💤 At-Risk Customers
2219590,8328.5,4,2082.125,57,Solapur,0,👑 Champions
2233446,2762.59,2,1381.295,256,Panihati,2,💛 Loyal Customers
2361575,1873.3500000000001,2,936.6750000000001,86,Faridabad,3,💤 At-Risk Customers
2365348,194.08,1,194.08,155,Siwan,3,💤 At-Risk Customers
2391900,1641.8,1,1641.8,484,Bhagalpur,2,💛 Loyal Customers
2400009,6684.24,3,2228.08,166,Amaravati,0,👑 Champions
2414265,1074.09,2,537.045,85,Sultan Pur Majra,3,💤 At-Risk Customers
2442235,2285.66,2,1142.83,10,Latur,3,💤 At-Risk Customers
2457734,3567.3999999999996,4,891.8499999999999,5,Ahmednagar,0,👑 Champions
2517955,675.63,1,675.63,251,Mathura,1,🆕 New Customers
2558646,1692.04,3,564.0133333333333,206,Bhusawal,3,💤 At-Risk Customers
2566268,2492.01,5,498.40200000000004,7,Mysore,0,👑 Champions
2584499,2754.45,3,918.15,92,Ludhiana,3,💤 At-Risk Customers
2667357,710.8499999999999,1,710.8499999999999,364,Guntakal,1,🆕 New Customers
2684440,4632.05,5,926.4100000000001,164,Ranchi,0,👑 Champions
2848415,1641.8,1,1641.8,293,Aurangabad,2,💛 Loyal Customers
2875442,766.05,1,766.05,268,Bettiah,1,🆕 New Customers
2903620,473.09,2,236.545,223,Proddatur,3,💤 At-Risk Customers
2928026,2147.16,1,2147.16,323,Ahmedabad,2,💛 Loyal Customers
3002538,1819.8600000000001,2,909.9300000000001,72,Sonipat,3,💤 At-Risk Customers
3096845,1048.3799999999999,2,524.1899999999999,363,Guntakal,1,🆕 New Customers
3100301,1296.0,1,1296.0,476,Bathinda,1,🆕 New Customers
3282647,1460.1200000000001,2,730.0600000000001,289,Unnao,1,🆕 New Customers
3292927,2420.6400000000003,3,806.8800000000001,20,Rewa,3,💤 At-Risk Customers
3399251,66.42,1,66.42,334,Solapur,1,🆕 New Customers
3408982,1870.35,4,467.5875,59,Bhatpara,3,💤 At-Risk Customers
3410758,390.03,1,390.03,588,Hazaribagh,1,🆕 New Customers
3421258,3367.35,2,1683.675,259,Kota,2,💛 Loyal Customers
3468355,1268.6100000000001,1,1268.6100000000001,158,Pune,3,💤 At-Risk Customers
3483295,1793.73,1,1793.73,238,Imphal,2,💛 Loyal Customers
3588443,2191.06,2,1095.53,35,Rohtak,3,💤 At-Risk Customers
3638834,2445.3,2,1222.65,389,Warangal,2,💛 Loyal Customers
3660263,98.32,1,98.32,225,Phagwara,1,🆕 New Customers
3730316,1895.56,3,631.8533333333334,22,Berhampore,3,💤 At-Risk Customers
3786105,976.3199999999999,2,488.15999999999997,200,Kirari Suleman Nagar,3,💤 At-Risk Customers
3844290,2692.27,2,1346.135,33,Berhampore,3,💤 At-Risk Customers
3872421,550.06,1,550.06,145,Panvel,3,💤 At-Risk Customers
3875480,369.28,1,369.28,512,Berhampur,1,🆕 New Customers
3893903,1296.0,1,1296.0,125,Bathinda,3,💤 At-Risk Customers
3897936,3954.55,5,790.9100000000001,33,Pudukkottai,0,👑 Champions
