customer_id,total_spent,total_orders,avg_basket,last_order_date,days_since_last,cluster,segment
31813,4153.05,2,2076.525,2024-10-10 13:10:15,25,2,💛 Loyal Customers
61020,3124.91,3,1041.6366666666665,2024-08-31 14:07:08,65,0,👑 Champions
119099,1675.0,4,418.75,2024-05-24 16:36:21,164,3,💤 At-Risk Customers
188838,1916.44,2,958.22,2024-02-19 14:40:22,259,3,💤 At-Risk Customers
191616,1638.0300000000002,2,819.0150000000001,2024-05-24 07:26:24,164,3,💤 At-Risk Customers
211163,1859.08,3,619.6933333333333,2024-06-09 10:45:42,148,3,💤 At-Risk Customers
243838,1975.1200000000001,3,658.3733333333333,2023-12-05 10:13:47,335,1,🆕 New Customers
376144,5456.429999999999,5,1091.2859999999998,2024-07-14 09:14:56,113,0,👑 Champions
408590,795.1,1,795.1,2023-12-19 16:33:47,321,1,🆕 New Customers
469006,2128.66,3,709.5533333333333,2024-05-27 03:23:40,161,3,💤 At-Risk Customers
625395,5032.1,4,1258.025,2024-10-02 17:17:52,33,0,👑 Champions
644189,171.2,1,171.2,2024-06-23 18:54:35,134,3,💤 At-Risk Customers
666589,1597.71,1,1597.71,2024-01-24 17:03:49,285,2,💛 Loyal Customers
701493,2361.6800000000003,3,787.2266666666668,2024-06-18 23:21:18,138,3,💤 At-Risk Customers
767523,505.95,1,505.95,2024-07-05 03:36:54,122,3,💤 At-Risk Customers
773410,1011.9,1,1011.9,2024-08-14 20:51:31,81,3,💤 At-Risk Customers
820740,4674.24,3,1558.08,2024-10-26 08:38:46,9,0,👑 Champions
899941,708.9799999999999,2,354.48999999999995,2023-12-01 20:28:51,339,1,🆕 New Customers
949062,2840.58,1,2840.58,2023-04-05 11:28:45,579,2,💛 Loyal Customers
954629,2014.6499999999999,1,2014.6499999999999,2023-05-17 18:13:02,537,2,💛 Loyal Customers
966247,326.42,1,326.42,2024-04-18 16:18:41,200,3,💤 At-Risk Customers
1108176,2287.92,2,1143.96,2024-01-28 20:41:13,280,2,💛 Loyal Customers
1152215,2362.2,1,2362.2,2023-07-09 08:07:37,484,2,💛 Loyal Customers
1174162,4150.22,3,1383.4066666666668,2024-10-17 00:59:37,18,0,👑 Champions
1200365,2030.1100000000001,2,1015.0550000000001,2024-08-17 11:54:42,79,3,💤 At-Risk Customers
1301661,494.17,1,494.17,2024-07-03 12:00:31,124,3,💤 At-Risk Customers
1342184,1983.8899999999999,2,991.9449999999999,2023-09-26 01:28:11,405,1,🆕 New Customers
1449273,269.14,2,134.57,2023-09-01 00:03:51,430,1,🆕 New Customers
1469696,704.13,2,352.065,2024-03-23 00:19:43,226,3,💤 At-Risk Customers
1497747,343.56,1,343.56,2023-06-02 16:45:09,521,1,🆕 New Customers
1507408,1865.26,3,621.7533333333333,2023-09-30 08:52:45,401,1,🆕 New Customers
1529180,373.89,2,186.945,2023-06-16 13:05:30,507,1,🆕 New Customers
1562083,3141.5599999999995,2,1570.7799999999997,2024-09-12 04:16:57,53,2,💛 Loyal Customers
1588560,1072.8999999999999,2,536.4499999999999,2024-03-12 16:42:38,237,3,💤 At-Risk Customers
1601161,2357.8199999999997,5,471.56399999999996,2024-08-26 23:07:11,69,0,👑 Champions
1603358,6212.849999999999,3,2070.95,2023-09-05 23:05:17,425,2,💛 Loyal Customers
1655637,964.12,1,964.12,2023-10-31 21:33:55,369,1,🆕 New Customers
1683786,2457.17,2,1228.585,2024-05-26 08:18:38,162,2,💛 Loyal Customers
1697604,1371.42,3,457.14000000000004,2024-01-29 19:49:32,280,3,💤 At-Risk Customers
1705969,2481.09,2,1240.545,2024-02-12 06:56:34,266,2,💛 Loyal Customers
1719710,819.8100000000001,2,409.90500000000003,2023-09-18 12:08:26,413,1,🆕 New Customers
1771249,225.21,1,225.21,2024-03-09 00:27:33,240,1,🆕 New Customers
1816969,2727.45,2,1363.725,2024-08-05 07:01:50,91,2,💛 Loyal Customers
1855421,1149.06,2,574.53,2024-01-08 07:20:54,301,1,🆕 New Customers
1989720,3042.82,2,1521.41,2024-08-04 23:35:44,91,2,💛 Loyal Customers
2058037,3387.9800000000005,4,846.9950000000001,2024-10-31 18:23:21,4,0,👑 Champions
2134827,724.84,1,724.84,2024-01-03 19:52:56,306,1,🆕 New Customers
2136830,657.8,1,657.8,2023-09-09 17:10:08,422,1,🆕 New Customers
2164524,6930.889999999999,4,1732.7224999999999,2023-11-02 02:45:13,368,0,👑 Champions
2188994,986.38,1,986.38,2024-05-21 16:19:30,167,3,💤 At-Risk Customers
2219590,8328.5,4,2082.125,2024-09-08 06:11:07,57,0,👑 Champions
